[2026-07-24T16:02:31.160Z] GET http://localhost:3000/_next/static/chunks/turbopack-Dev_Tradelynq_Tradelynq-V2_1-ozf8z._.js → 200 (40ms, 92859B)
[2026-07-24T16:02:31.160Z] GET http://localhost:3000/_next/static/chunks/093g_next_dist_07668l8._.js → 200 (53ms, 209213B)
[2026-07-24T16:02:31.160Z] GET http://localhost:3000/_next/static/chunks/Dev_Tradelynq_Tradelynq-V2_components_layout_ThemeProvider_tsx_0k7zmce._.js → 200 (40ms, 9473B)
[2026-07-24T16:02:31.160Z] GET http://localhost:3000/_next/static/chunks/Dev_Tradelynq_Tradelynq-V2_app_layout_tsx_1md4691._.js → 200 (40ms, 399B)
[2026-07-24T16:02:31.160Z] GET http://localhost:3000/_next/static/chunks/093g_%40sentry_nextjs_build_esm_index_client_1jpykmv.js → 200 (52ms, 1031B)
[2026-07-24T16:02:31.160Z] GET http://localhost:3000/_next/static/chunks/093g_1ddkzor._.js → 200 (53ms, 187308B)
[2026-07-24T16:02:31.160Z] GET http://localhost:3000/_next/static/chunks/Dev_Tradelynq_Tradelynq-V2_0tfp47s._.js → 200 (53ms, 19199B)
[2026-07-24T16:02:31.160Z] GET http://localhost:3000/_next/static/chunks/Dev_Tradelynq_Tradelynq-V2_app_error_tsx_0mqtr_1._.js → 200 (53ms, 371B)
[2026-07-24T16:02:31.160Z] GET http://localhost:3000/_next/static/chunks/093g_1_de2d5._.js → 200 (54ms, 568031B)
[2026-07-24T16:02:31.160Z] GET http://localhost:3000/_next/static/chunks/Dev_Tradelynq_Tradelynq-V2_07olqgz._.js → 200 (53ms, 103912B)
[2026-07-24T16:02:31.160Z] GET http://localhost:3000/_next/static/chunks/Dev_Tradelynq_Tradelynq-V2_app_(public)_layout_tsx_0mqtr_1._.js → 200 (53ms, 301B)
[2026-07-24T16:02:31.160Z] GET http://localhost:3000/_next/static/chunks/093g_next_dist_client_components_builtin_global-error_0mqtr_1.js → 200 (53ms, 212B)
[2026-07-24T16:02:31.160Z] GET http://localhost:3000/_next/static/chunks/Dev_Tradelynq_Tradelynq-V2_0m69-vl._.js → 200 (54ms, 257306B)
[2026-07-24T16:02:31.160Z] GET http://localhost:3000/_next/static/chunks/093g_0w7k8oz._.js → 200 (54ms, 42955B)
[2026-07-24T16:02:31.160Z] GET http://localhost:3000/_next/static/chunks/Dev_Tradelynq_Tradelynq-V2_app_(public)_professionals_%5Bslug%5D_page_tsx_141rxtz._.js → 200 (54ms, 301B)
[2026-07-24T16:02:31.238Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1mojsay._.js → 200 (32ms, 15615B)
[2026-07-24T16:02:31.238Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_0zwrxt4._.js → 200 (32ms, 289B)
[2026-07-24T16:02:51.179Z] GET http://localhost:3000/login → 200 (42ms, 30222B)
[2026-07-24T16:02:51.225Z] GET http://localhost:3000/_next/static/media/017d9bea37084d9b-s.p.41rroleoq1br7.woff2 → 200 (1ms, ?B)
[2026-07-24T16:02:51.226Z] GET http://localhost:3000/_next/static/media/70bc3e132a0a741e-s.p.3t6q91iet4nsy.woff2 → 200 (?ms, ?B)
[2026-07-24T16:02:51.226Z] GET http://localhost:3000/_next/static/media/c47649aa31f9e140-s.p.3lxpqujs87tck.woff2 → 200 (?ms, ?B)
[2026-07-24T16:02:51.226Z] GET http://localhost:3000/_next/static/chunks/%5Broot-of-the-server%5D__1alx9cd._.css → 304 (3ms, ?B)
[2026-07-24T16:02:51.226Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1c05dl4._.js → 304 (4ms, ?B)
[2026-07-24T16:02:51.226Z] GET http://localhost:3000/_next/static/chunks/093g_next_dist_compiled_react-dom_0tqwgx_._.js → 304 (6ms, ?B)
[2026-07-24T16:02:51.226Z] GET http://localhost:3000/_next/static/chunks/093g_next_dist_compiled_next-devtools_index_0n5c3vp.js → 304 (7ms, ?B)
[2026-07-24T16:02:51.226Z] GET http://localhost:3000/_next/static/chunks/093g_next_dist_compiled_react-server-dom-turbopack_0hkxcnq._.js → 304 (13ms, ?B)
[2026-07-24T16:02:51.226Z] GET http://localhost:3000/_next/static/chunks/093g_next_dist_compiled_0jmj0i9._.js → 304 (14ms, ?B)
[2026-07-24T16:02:51.226Z] GET http://localhost:3000/_next/static/chunks/093g_next_dist_shared_lib_0mgk4wr._.js → 304 (14ms, ?B)
[2026-07-24T16:02:51.226Z] GET http://localhost:3000/_next/static/chunks/093g_next_dist_client_00zdfuj._.js → 304 (14ms, ?B)
[2026-07-24T16:02:51.226Z] GET http://localhost:3000/_next/static/chunks/093g_next_dist_0p-gtpw._.js → 304 (14ms, ?B)
[2026-07-24T16:02:51.226Z] GET http://localhost:3000/_next/static/chunks/093g_next_router_0jdwzlz.js → 304 (15ms, ?B)
[2026-07-24T16:02:51.226Z] GET http://localhost:3000/_next/static/chunks/093g_posthog-js_dist_module_0_i34dt.js → 304 (15ms, ?B)
[2026-07-24T16:02:51.226Z] GET http://localhost:3000/_next/static/chunks/093g_%40sentry_core_build_esm_1pnuaj5._.js → 304 (15ms, ?B)
[2026-07-24T16:02:51.226Z] GET http://localhost:3000/_next/static/chunks/093g_%40sentry_conventions_dist_attributes_mjs_0j0ufne._.js → 304 (15ms, ?B)
[2026-07-24T16:02:51.226Z] GET http://localhost:3000/_next/static/chunks/093g_%40sentry_browser_build_npm_esm_dev_1779_6a._.js → 304 (15ms, ?B)
[2026-07-24T16:02:51.226Z] GET http://localhost:3000/_next/static/chunks/093g_%40sentry_browser-utils_build_esm_1rsyhbn._.js → 304 (15ms, ?B)
[2026-07-24T16:02:51.226Z] GET http://localhost:3000/_next/static/chunks/093g_1j1vlvg._.js → 304 (15ms, ?B)
[2026-07-24T16:02:51.226Z] GET http://localhost:3000/_next/static/chunks/Dev_Tradelynq_Tradelynq-V2_instrumentation-client_ts_0h8wagc._.js → 304 (15ms, ?B)
[2026-07-24T16:02:51.226Z] GET http://localhost:3000/_next/static/chunks/Dev_Tradelynq_Tradelynq-V2_1anvha4._.js → 304 (15ms, ?B)
[2026-07-24T16:02:51.226Z] GET http://localhost:3000/_next/static/chunks/turbopack-Dev_Tradelynq_Tradelynq-V2_1-ozf8z._.js → 304 (23ms, ?B)
[2026-07-24T16:02:51.226Z] GET http://localhost:3000/_next/static/chunks/093g_next_dist_07668l8._.js → 304 (24ms, ?B)
[2026-07-24T16:02:51.226Z] GET http://localhost:3000/_next/static/chunks/Dev_Tradelynq_Tradelynq-V2_components_layout_ThemeProvider_tsx_0k7zmce._.js → 304 (24ms, ?B)
[2026-07-24T16:02:51.226Z] GET http://localhost:3000/_next/static/chunks/Dev_Tradelynq_Tradelynq-V2_app_layout_tsx_1md4691._.js → 304 (24ms, ?B)
[2026-07-24T16:02:51.226Z] GET http://localhost:3000/_next/static/chunks/093g_%40sentry_nextjs_build_esm_index_client_1jpykmv.js → 304 (25ms, ?B)
[2026-07-24T16:02:51.227Z] GET http://localhost:3000/_next/static/chunks/093g_1ddkzor._.js → 304 (23ms, ?B)
[2026-07-24T16:02:51.227Z] GET http://localhost:3000/_next/static/chunks/Dev_Tradelynq_Tradelynq-V2_0tfp47s._.js → 304 (24ms, ?B)
[2026-07-24T16:02:51.227Z] GET http://localhost:3000/_next/static/chunks/Dev_Tradelynq_Tradelynq-V2_app_error_tsx_0mqtr_1._.js → 304 (24ms, ?B)
[2026-07-24T16:02:51.227Z] GET http://localhost:3000/_next/static/chunks/093g_next_dist_1kfmc1y._.js → 200 (24ms, 24878B)
[2026-07-24T16:02:51.227Z] GET http://localhost:3000/_next/static/chunks/Dev_Tradelynq_Tradelynq-V2_app_(auth)_layout_tsx_0mqtr_1._.js → 200 (24ms, 255B)
[2026-07-24T16:02:51.227Z] GET http://localhost:3000/_next/static/chunks/093g_react-hook-form_dist_index_esm_mjs_0vo9c83._.js → 200 (25ms, 149724B)
[2026-07-24T16:02:51.227Z] GET http://localhost:3000/_next/static/chunks/093g_zod_v4_01bxmm6._.js → 200 (44ms, 1044199B)
[2026-07-24T16:02:51.227Z] GET http://localhost:3000/_next/static/chunks/093g_%40supabase_auth-js_dist_module_1oe6mcl._.js → 200 (41ms, 516155B)
[2026-07-24T16:02:51.227Z] GET http://localhost:3000/_next/static/chunks/093g_tailwind-merge_dist_bundle-mjs_mjs_0m7aamq._.js → 200 (41ms, 153287B)
[2026-07-24T16:02:51.227Z] GET http://localhost:3000/_next/static/chunks/093g_1vqbd5m._.js → 200 (44ms, 677986B)
[2026-07-24T16:02:51.227Z] GET http://localhost:3000/_next/static/chunks/Dev_Tradelynq_Tradelynq-V2_08j-uat._.js → 200 (40ms, 79118B)
[2026-07-24T16:02:51.227Z] GET http://localhost:3000/_next/static/chunks/Dev_Tradelynq_Tradelynq-V2_app_(auth)_login_page_tsx_1tsv8_x._.js → 200 (39ms, 544B)
[2026-07-24T16:02:51.227Z] GET http://localhost:3000/_next/static/chunks/093g_next_dist_client_components_builtin_global-error_0mqtr_1.js → 304 (39ms, ?B)
[2026-07-24T16:02:51.265Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1mojsay._.js → 304 (7ms, ?B)
[2026-07-24T16:02:51.265Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_0zwrxt4._.js → 304 (8ms, ?B)
[2026-07-24T16:02:52.090Z] POST http://127.0.0.1:54321/auth/v1/token?grant_type=password → 500 (10ms, 72B)
